Gene	Virus	Virus_num	Virally_targeted
PSMD2	Dengue virus 2,Epstein-Barr virus,Hepatitis C virus,Human adenovirus C,Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Measles virus 	8	Specific
PSMD3	Dengue virus 2,Epstein-Barr virus,Human cytomegalovirus,Human immunodeficiency virus 2,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 8,Influenza A virus (H1N1),Measles virus 	9	Specific
PSMD4	Epstein-Barr virus,Hepatitis C virus,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 31,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Macaca mulatta polyomavirus 1,SARS-CoV-1	11	Specific
PSMD5	Hepatitis C virus,Influenza A virus (H1N1)	2	Specific
PSMD6	Epstein-Barr virus,Human papillomavirus 18,Human papillomavirus 31,Influenza A virus (H1N1),Measles virus 	5	Specific
PSMD7	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 18,Influenza A virus (H1N1),Murid herpesvirus 4	6	Specific
PSMD8	Epstein-Barr virus,Hepatitis C virus,Human papillomavirus 16,Human papillomavirus 18,Influenza A virus (H1N1),Influenza A virus (H3N2),SARS-CoV-2	7	Specific
PSMD9	Influenza A virus (H1N1),MERS-CoV	2	Specific
PSME1	Epstein-Barr virus,Human cytomegalovirus,Human papillomavirus 31,Influenza A virus (H1N1)	4	Specific
PSME2	Dengue virus 2,Epstein-Barr virus,Hepatitis C virus,Human papillomavirus 31,Influenza A virus (H1N1)	5	Specific
PSME3	Dengue virus 2,Epstein-Barr virus,Hepatitis C virus,Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),SARS-CoV-1	7	Specific
PSME3IP1	Dengue virus 1,Dengue virus 2,Dengue virus 3,Dengue virus 4,Epstein-Barr virus,Hepatitis C virus,Human cytomegalovirus,Zika virus	8	Specific
PSME4	Epstein-Barr virus,Human cytomegalovirus	2	Specific
PSMF1	Human adenovirus C,Human cytomegalovirus,Human papillomavirus 18,Human papillomavirus 39,Human T-cell leukemia virus 2	5	Specific
PSMG1	Epstein-Barr virus,Human cytomegalovirus	2	Specific
PSMG2	Human cytomegalovirus	1	Specific
PSPC1	Human immunodeficiency virus 1,Influenza A virus (H1N1),La Crosse virus	3	Specific
PSPH	Human papillomavirus 33	1	Specific
PTBP1	Dengue virus 2,Ebola virus,Epstein-Barr virus,Influenza A virus (H1N1),Influenza A virus (H5N1),Porcine reproductive and respiratory syndrome virus	6	Specific
PTBP2	SARS-CoV-2	1	Specific
PTBP3	Hepatitis C virus,Influenza A virus (H1N1)	2	Specific
PTCD1	Hepatitis C virus,Influenza A virus (H1N1),Influenza A virus (H3N2),Kaposi's sarcoma-associated herpesvirus	4	Specific
PTCD3	Classical swine fever virus,Dengue virus 2,Ebola virus,Human cytomegalovirus,Human papillomavirus 31,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),SARS-CoV-2,Zika virus	10	Specific
PTDSS1	Dengue virus 2,HCoV-229E,Human cytomegalovirus,Influenza A virus (H1N1)	4	Specific
PTDSS2	HCoV-229E,Human cytomegalovirus,Human papillomavirus 18,Human papillomavirus 6b,SARS-CoV-2	5	Specific
PTGER3	Hepatitis delta virus	1	Specific
PTGES	HCoV-229E,Human papillomavirus 8,Influenza A virus (H1N1),Macaca mulatta polyomavirus 1,SARS-CoV-2	5	Specific
PTGES2	Human respiratory syncytial virus,MERS-CoV,SARS-CoV-1,SARS-CoV-2	4	Specific
PTGES3	Human immunodeficiency virus 1,Influenza A virus (H1N1)	2	Specific
PTGR1	SARS-CoV-1,SARS-CoV-2	2	Specific
PTGS1	Human papillomavirus 18	1	Specific
PTGS2	Hepatitis C virus	1	Specific
PTHLH	Human papillomavirus 18,Human papillomavirus 8	2	Specific
PTK2B	Human cytomegalovirus,Human herpesvirus 1,Human papillomavirus 18,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 33,Human papillomavirus 39,Human papillomavirus 5,Human papillomavirus 8,Human papillomavirus 9	10	Specific
PTK7	Epstein-Barr virus,Human adenovirus C,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 6b,Kaposi's sarcoma-associated herpesvirus	6	Specific
PTMA	Epstein-Barr virus,Hepatitis C virus,Human respiratory syncytial virus,Influenza A virus (H1N1),Measles virus 	5	Specific
PTOV1	Human respiratory syncytial virus	1	Specific
PTPA	Kaposi's sarcoma-associated herpesvirus,SARS-CoV-2	2	Specific
PTPMT1	Dengue virus 2,Influenza A virus (H1N1),SARS-CoV-2	3	Specific
PTPN1	Epstein-Barr virus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human respiratory syncytial virus,Influenza A virus (H1N1)	6	Specific
PTPN11	HCoV-NL63,Human cytomegalovirus,Kaposi's sarcoma-associated herpesvirus,SARS-CoV-1,SARS-CoV-2	5	Specific
PTPN13	SARS-CoV-2	1	Specific
PTPN14	Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 31,Human papillomavirus 33,Human papillomavirus 38,Human papillomavirus 6,Human papillomavirus 6b,Human papillomavirus 8	8	Specific
PTPN20	Influenza A virus (H1N1)	1	Specific
PTPN21	Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 31,Human papillomavirus 6b,Human papillomavirus 8	5	Specific
PTPN23	Human immunodeficiency virus 1	1	Specific
PTPN3	Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 5	3	Specific
PTPN4	Human papillomavirus 16,Human papillomavirus 18	2	Specific
PTPN6	Human papillomavirus 8	1	Specific
PTPN9	Kaposi's sarcoma-associated herpesvirus	1	Specific
PTPRA	Human cytomegalovirus,SARS-CoV-1,SARS-CoV-2	3	Specific
PTPRC	Human adenovirus D,Human adenovirus E,Human immunodeficiency virus 1	3	Specific
PTPRD	SARS-CoV-2	1	Specific
PTPRF	Epstein-Barr virus,HCoV-NL63,Human cytomegalovirus,SARS-CoV-1,SARS-CoV-2	5	Specific
PTPRJ	HCoV-NL63,SARS-CoV-1,SARS-CoV-2	3	Specific
PTPRK	Epstein-Barr virus,Human cytomegalovirus	2	Specific
PTPRM	HCoV-NL63,SARS-CoV-1,SARS-CoV-2	3	Specific
PTPRN2	Hepatitis C virus	1	Specific
PTPRS	Human cytomegalovirus,SARS-CoV-2	2	Specific
PTRH2	Hepatitis delta virus,Human papillomavirus 18,Influenza A virus (H1N1),Measles virus ,SARS-CoV-2	5	Specific
PTTG1IP	Epstein-Barr virus,Hepatitis delta virus,Human adenovirus C,Human papillomavirus 11,Human papillomavirus 18,Human papillomavirus 6b,Kaposi's sarcoma-associated herpesvirus,Merkel cell polyomavirus	8	Specific
PUF60	Dengue virus 2,Human immunodeficiency virus 2,Human papillomavirus 31,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Murid herpesvirus 4,Zika virus	7	Specific
PUM1	Influenza A virus (H1N1),Porcine reproductive and respiratory syndrome virus	2	Specific
PUM2	Human immunodeficiency virus 1,Human papillomavirus 8	2	Specific
PUM3	Human immunodeficiency virus 1,Kaposi's sarcoma-associated herpesvirus,SARS-CoV-1,SARS-CoV-2,Zika virus	5	Specific
PURA	Dengue virus 2,Human immunodeficiency virus 1,Human polyomavirus (type JC),Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Macaca mulatta polyomavirus 1	7	Specific
PURB	Dengue virus 2,Human immunodeficiency virus 1,Influenza A virus (H1N1)	3	Specific
PUS7	Human cytomegalovirus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	3	Specific
PUSL1	SARS-CoV-2	1	Specific
PVR	Epstein-Barr virus,Human cytomegalovirus,Influenza A virus (H1N1),SARS-CoV-2	4	Specific
PWP1	Dengue virus 2,Ebola virus,Human cytomegalovirus,Human papillomavirus 31,Influenza A virus (H1N1)	5	Specific
PWP2	Human papillomavirus 31,MERS-CoV	2	Specific
PXMP4	HCoV-NL63	1	Specific
PXN	Deltapapillomavirus 4,Epstein-Barr virus,Human papillomavirus 8,Macaca mulatta polyomavirus 1	4	Specific
PYCARD	Human cytomegalovirus	1	Specific
PYCR2	Epstein-Barr virus,Human respiratory syncytial virus	2	Specific
PYCR3	SARS-CoV-2	1	Specific
PYGB	Human papillomavirus 5,Influenza A virus (H1N1)	2	Specific
PYGL	Influenza A virus (H1N1)	1	Specific
PYGM	Human papillomavirus 16	1	Specific
PYGO2	Kaposi's sarcoma-associated herpesvirus	1	Specific
PYHIN1	Human cytomegalovirus	1	Specific
PYM1	Dengue virus 1,Dengue virus 2,Hepatitis C virus,Human cytomegalovirus,Human papillomavirus 31,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,West Nile virus,Zika virus	9	Specific
PYROXD2	SARS-CoV-1,SARS-CoV-2	2	Specific
PYURF	Influenza A virus (H1N1)	1	Specific
QARS1	Epstein-Barr virus,Hepatitis C virus,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 8,Influenza A virus (H1N1),Influenza A virus (H3N2)	7	Specific
QKI	Ebola virus,Hepatitis C virus,Human cytomegalovirus,Human papillomavirus 18,Influenza A virus (H1N1),Influenza A virus (H3N2)	6	Specific
QPCT	Lymphocytic choriomeningitis virus	1	Specific
QPCTL	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 6b,Influenza A virus (H1N1),Influenza A virus (H3N2)	7	Specific
QSER1	Influenza A virus (H1N1)	1	Specific
QSOX1	Epstein-Barr virus,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 18,Human papillomavirus 6b,SARS-CoV-1,SARS-CoV-2,Vaccinia virus	8	Specific
QSOX2	Dengue virus 2,Human cytomegalovirus,Human papillomavirus 31,Influenza A virus (H1N1),MERS-CoV,SARS-CoV-1,SARS-CoV-2	7	Specific
QTRT1	Influenza A virus (H1N1),MERS-CoV	2	Specific
QTRT2	Influenza A virus (H1N1)	1	Specific
R3HCC1	Vaccinia virus	1	Specific
R3HDM1	Human cytomegalovirus,MERS-CoV	2	Specific
RAB10	Dengue virus 2,Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Measles virus ,SARS-CoV-2	6	Specific
RAB11A	Dengue virus 2,Human immunodeficiency virus 1,Human respiratory syncytial virus,Influenza A virus (H1N1),Measles virus 	5	Specific
RAB11B	Ebola virus,Human respiratory syncytial virus,Influenza A virus (H1N1)	3	Specific
RAB11FIP1	Human cytomegalovirus,Human papillomavirus 33	2	Specific
RAB11FIP2	Influenza A virus (H3N2)	1	Specific
RAB11FIP5	Human cytomegalovirus,Kaposi's sarcoma-associated herpesvirus	2	Specific
RAB12	Human cytomegalovirus	1	Specific
RAB13	Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2	3	Specific
RAB14	Dengue virus 2,Hepatitis C virus,Human immunodeficiency virus 1,Human respiratory syncytial virus,Influenza A virus (H1N1),Measles virus ,SARS-CoV-2	7	Specific
RAB18	Epstein-Barr virus,Hepatitis C virus,Human adenovirus C,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,Influenza A virus (H1N1),Merkel cell polyomavirus,SARS-CoV-2,Zika virus	11	Specific
RAB1A	Dengue virus 2,Human cytomegalovirus,Influenza A virus (H1N1),SARS-CoV-2	4	Specific
RAB1B	Influenza A virus (H1N1),Measles virus 	2	Specific
RAB20	Human herpesvirus 1	1	Specific
RAB21	Human cytomegalovirus,Measles virus ,SARS-CoV-2	3	Specific
RAB24	Human immunodeficiency virus 1	1	Specific
RAB25	Human cytomegalovirus,Rubella virus	2	Specific
RAB29	Human cytomegalovirus	1	Specific
RAB2A	Human respiratory syncytial virus,SARS-CoV-2	2	Specific
RAB30	Human cytomegalovirus	1	Specific
RAB32	Epstein-Barr virus,Human cytomegalovirus,Human papillomavirus 6b,Influenza A virus (H1N1),SARS-CoV-2	5	Specific
RAB33A	Human papillomavirus 8	1	Specific
RAB33B	Human papillomavirus 8	1	Specific
RAB34	Epstein-Barr virus,HCoV-NL63,Human adenovirus C,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 18,Human papillomavirus 6b,SARS-CoV-1,SARS-CoV-2	9	Specific
RAB35	Zika virus	1	Specific
RAB37	Influenza A virus (H1N1)	1	Specific
RAB39A	Influenza A virus (H1N1),Zika virus	2	Specific
RAB3B	Human cytomegalovirus	1	Specific
RAB3D	Influenza A virus (H1N1),SARS-CoV-2	2	Specific
RAB3GAP1	Kaposi's sarcoma-associated herpesvirus	1	Specific
RAB3IP	Epstein-Barr virus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 33,Human papillomavirus 5,Human papillomavirus 6,Human papillomavirus 8,Human papillomavirus 9,Influenza A virus (H1N1)	12	Specific
RAB40A	Human papillomavirus 16	1	Specific
RAB40AL	Human papillomavirus 16	1	Specific
RAB40C	Human papillomavirus 16	1	Specific
RAB43	Human cytomegalovirus	1	Specific
RAB4A	Human cytomegalovirus,Human respiratory syncytial virus	2	Specific
RAB5A	Hepatitis C virus,Influenza A virus (H1N1),SARS-CoV-2	3	Specific
RAB5B	Human respiratory syncytial virus,Influenza A virus (H1N1),SARS-CoV-2	3	Specific
RAB5C	Epstein-Barr virus,Human adenovirus C,Human immunodeficiency virus 1,Human papillomavirus 6b,Human respiratory syncytial virus,Influenza A virus (H1N1),Measles virus ,SARS-CoV-2	8	Specific
RAB5IF	Human cytomegalovirus,Human immunodeficiency virus 1	2	Specific
RAB6A	Human cytomegalovirus,Human respiratory syncytial virus,Measles virus 	3	Specific
RAB6B	Human cytomegalovirus,Human herpesvirus 1,Influenza A virus (H1N1)	3	Specific
RAB7A	Dengue virus 2,Ebola virus,HCoV-NL63,Human immunodeficiency virus 1,Human respiratory syncytial virus,Kaposi's sarcoma-associated herpesvirus,Measles virus ,SARS-CoV-1,SARS-CoV-2	9	Specific
RAB8A	Human respiratory syncytial virus,Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2	4	Specific
RAB8B	Human cytomegalovirus	1	Specific
RAB9A	Human cytomegalovirus,Influenza A virus (H1N1)	2	Specific
RABAC1	Bovine immunodeficiency virus,Epstein-Barr virus,Human cytomegalovirus,Human papillomavirus 16,Simian immunodeficiency virus	5	Specific
RABEP1	Hepatitis C virus,SARS-CoV-2	2	Specific
RABEP2	Influenza A virus (H1N1)	1	Specific
RABEPK	Hepatitis C virus,Human cytomegalovirus,Kaposi's sarcoma-associated herpesvirus	3	Specific
RABGAP1	Human cytomegalovirus,Human immunodeficiency virus 1	2	Specific
RABGAP1L	Human cytomegalovirus,Influenza A virus (H1N1)	2	Specific
RABGEF1	Influenza A virus (H1N1),Influenza A virus (H3N2)	2	Specific
RABL3	Human cytomegalovirus,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,SARS-CoV-1,SARS-CoV-2	6	Specific
RAC1	Human immunodeficiency virus 1,Influenza A virus (H1N1)	2	Specific
RAC2	Human immunodeficiency virus 1,Simian immunodeficiency virus	2	Specific
RACGAP1	Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 31,Human papillomavirus 6b,Human papillomavirus 8	5	Specific
RACK1	Dengue virus 2,Epstein-Barr virus,Hepatitis E virus,Human adenovirus C,Human immunodeficiency virus 1,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Measles virus ,Porcine reproductive and respiratory syndrome virus,Zika virus	10	Specific
RAD17	SARS-CoV-1	1	Specific
RAD18	Epstein-Barr virus,Human immunodeficiency virus 1	2	Specific
RAD23A	Human immunodeficiency virus 1,Human papillomavirus 1a,Measles virus ,SARS-CoV-2	4	Specific
RAD23B	Human immunodeficiency virus 1,Human respiratory syncytial virus,Influenza A virus (H1N1),MERS-CoV,SARS-CoV-1	5	Specific
RAD50	Epstein-Barr virus,Human herpesvirus 1,Influenza A virus (H1N1),MERS-CoV,Vaccinia virus	5	Specific
RAD51	Human herpesvirus 1,Human T-cell leukemia virus 1	2	Specific
RAD51AP1	Hepatitis C virus	1	Specific
RAD51C	Kaposi's sarcoma-associated herpesvirus	1	Specific
RAD51D	Kaposi's sarcoma-associated herpesvirus	1	Specific
RAD54L2	Murid herpesvirus 4	1	Specific
RADIL	Human papillomavirus 18	1	Specific
RADX	SARS-CoV-1	1	Specific
RAE1	Human cytomegalovirus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Rift valley fever virus,SARS-CoV-1,SARS-CoV-2,Vesicular stomatitis virus	7	Specific
RAET1G	Human cytomegalovirus	1	Specific
RAET1L	Human cytomegalovirus	1	Specific
RAF1	Dengue virus 2,Hepatitis C virus,Human cytomegalovirus,Influenza A virus (H1N1),Influenza A virus (H3N2)	5	Specific
RAG1	Human papillomavirus 16	1	Specific
RAG2	Human T-cell leukemia virus 1	1	Specific
RAI14	Dengue virus 2,Hepatitis C virus,Human respiratory syncytial virus,Influenza A virus (H1N1),Influenza A virus (H5N1),Vaccinia virus	6	Specific
RALA	Human cytomegalovirus,Human papillomavirus 9,Kaposi's sarcoma-associated herpesvirus,SARS-CoV-2,Zika virus	5	Specific
RALGAPA1	Kaposi's sarcoma-associated herpesvirus,SARS-CoV-2	2	Specific
RALGAPB	SARS-CoV-2	1	Specific
RALY	Human cytomegalovirus,Influenza A virus (H1N1),Influenza A virus (H5N1)	3	Specific
RALYL	Human herpesvirus 1	1	Specific
RAMP3	Hepatitis delta virus	1	Specific
RAN	Hepatitis C virus,Human adenovirus C,Human cytomegalovirus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 16,Influenza A virus (H1N1),Macaca mulatta polyomavirus 1	8	Specific
RANBP1	Hepatitis C virus,Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H1N1),Measles virus ,Uukuniemi virus	6	Specific
RANBP10	Human cytomegalovirus,Human herpesvirus 1,Human papillomavirus 31,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,SARS-CoV-1	6	Specific
RANBP2	Deltapapillomavirus 4,Epstein-Barr virus,Human immunodeficiency virus 1,Vaccinia virus	4	Specific
RANBP6	Dengue virus 2,Human immunodeficiency virus 1,Influenza A virus (H1N1),SARS-CoV-2	4	Specific
RANBP9	Hepatitis B virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H3N2),Kaposi's sarcoma-associated herpesvirus,Measles virus ,SARS-CoV-1,Seoul orthohantavirus	9	Specific
RANGAP1	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 31,Macaca mulatta polyomavirus 1	4	Specific
RAP1A	Epstein-Barr virus,Hepatitis C virus,Human adenovirus C,Human cytomegalovirus,Human papillomavirus 18,Human papillomavirus 6b,Influenza A virus (H1N1),Zika virus	8	Specific
RAP1GDS1	Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2	3	Specific
RAP2C	Hepatitis C virus,Human papillomavirus 8,Influenza A virus (H1N1)	3	Specific
RAPGEFL1	Human papillomavirus 9	1	Specific
RARA	Epstein-Barr virus,Human papillomavirus 6b	2	Specific
RARB	Human adenovirus C	1	Specific
RARS1	Human immunodeficiency virus 1,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Measles virus 	4	Specific
RARS2	Dengue virus 2,Human cytomegalovirus,Human papillomavirus 18,Influenza A virus (H1N1),Influenza A virus (H3N2),SARS-CoV-2	6	Specific
RASAL2	Hepatitis C virus,Human papillomavirus 31	2	Specific
RASD1	Human papillomavirus 8	1	Specific
RASD2	Rubella virus	1	Specific
RASEF	Dengue virus 2	1	Specific
RASGRP1	Influenza A virus (H1N1)	1	Specific
RASGRP4	Influenza A virus (H1N1)	1	Specific
RASSF2	Influenza A virus (H3N2)	1	Specific
RASSF7	Alkhumra hemorrhagic fever virus	1	Specific
RAVER1	Human cytomegalovirus	1	Specific
RB1	Epstein-Barr virus,Human adenovirus B,Human adenovirus C,Human adenovirus E,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 1a,Human papillomavirus 31,Human papillomavirus 33,Human papillomavirus 38,Human papillomavirus 5,Human papillomavirus 6b,Human papillomavirus 8,Human polyomavirus (type JC),Human polyomavirus 1,Kaposi's sarcoma-associated herpesvirus,Kappapapillomavirus 2,Macaca mulatta polyomavirus 1,Merkel cell polyomavirus,Murine adenovirus A serotype 1 (MAdV-1),Rubella virus	23	Pan
RB1CC1	Hepatitis C virus,SARS-CoV-1	2	Specific
RBAK	Murid herpesvirus 4	1	Specific
RBBP4	Ebola virus,Epstein-Barr virus,Human cytomegalovirus,Human herpesvirus 1,Human immunodeficiency virus 1,Influenza A virus (H1N1),Measles virus ,Murid herpesvirus 1	8	Specific
RBBP6	Ebola virus,Human cytomegalovirus,Human immunodeficiency virus 1,Zika virus	4	Specific
RBBP7	Ebola virus,Epstein-Barr virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 16,Influenza A virus (H1N1),Measles virus ,Murid herpesvirus 1	8	Specific
RBBP8	Influenza A virus (H1N1)	1	Specific
RBCK1	Epstein-Barr virus,Human cytomegalovirus,Human herpesvirus 1,Human papillomavirus 8	4	Specific
RBFOX1	Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1)	3	Specific
RBFOX2	Dengue virus 2,Human papillomavirus 31,Influenza A virus (H1N1),Zika virus	4	Specific
RBFOX3	SARS-CoV-2	1	Specific
RBL1	Human adenovirus C,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 31,Human papillomavirus 33,Human papillomavirus 38,Human papillomavirus 6,Human papillomavirus 6b,Human papillomavirus 8,Human polyomavirus (type JC),Human polyomavirus 1,Kaposi's sarcoma-associated herpesvirus,Macaca mulatta polyomavirus 1	15	Pan
